int,int,int,int,float,int,int,int,int,float,int,float,int,float,string,string,*,,,string,,,,,,
07204,2,3,5,0.6,2.000,13,06001,5,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,1성 , 샷건,,,"타워 테이블은 기물 테이블에 연결되고, 기물에 레벨 정보가 있으므로 따로 레벨 정보를 표시해주지 않음.",,,,
07205,2,3,6,0.6,2.000,13,06001,5,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,1성 , 샷건,,,"현재 피스테이블은 1성급의 정보만 담겨있음. 따라서 2,3 성급의 타워 테이터는 추후 사용될 예정.",,,,
07206,2,3,7,0.45,2.000,13,06001,7,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,2성 , 샷건,,,No.,TowerType,,,
07207,2,3,8,0.45,2.000,13,06001,7,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,2성 , 샷건,,,1,AR,,,
07208,2,3,9,0.45,2.000,13,06001,7,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,2성 , 샷건,,,2,Shotgun,,,
07209,2,3,10,0.45,2.000,13,06001,7,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,2성 , 샷건,,,3,SR,,,
07210,2,3,11,0.45,2.000,13,06001,7,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,2성 , 샷건,,,4,Mortar,,,
07211,2,3,12,0.35,2.000,13,06001,9,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,3성 , 샷건,,,5,Boomer,,,
07212,2,3,14,0.35,2.000,13,06001,9,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,3성 , 샷건,,,6,Buffer,,,
07213,2,3,16,0.35,2.000,13,06001,9,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,3성 , 샷건,,,,,,,
07214,2,3,18,0.35,2.000,13,06001,9,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,3성 , 샷건,,,,,,,
07215,2,3,20,0.35,2.000,13,06001,9,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,3성 , 샷건,,,No.,TowerAiType,,,
07301,3,2,30,1.25,3.000,10,06002,1,0.05,2,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,1성 , 저격,,,1,basic,,,
07302,3,2,33,1.25,3.000,10,06002,1,0.05,3,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,1성 , 저격,,,2,basic-non,,,
07303,3,2,36,1.25,3.000,10,06002,1,0.05,4,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,1성 , 저격,,,3,shotgun,,,
07304,3,2,39,1.25,3.000,10,06002,1,0.05,5,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,1성 , 저격,,,4,heal,,,
07305,3,2,42,1.25,3.000,10,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,1성 , 저격,,,,,,,
07306,3,2,66,1,3.000,13,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,2성 , 저격,,,,,,,
07307,3,2,73,1,3.000,13,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,2성 , 저격,,,,,,,
07308,3,2,80,1,3.000,13,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,2성 , 저격,,,,,,,
07309,3,2,87,1,3.000,13,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,2성 , 저격,,,,,,,
07310,3,2,94,1,3.000,13,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,2성 , 저격,,,,,,,
07311,3,2,119,0.8,3.000,16,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,3성 , 저격,,,,,,,
07312,3,2,131,0.8,3.000,16,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,3성 , 저격,,,,,,,
07313,3,2,143,0.8,3.000,16,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,3성 , 저격,,,,,,,
07314,3,2,155,0.8,3.000,16,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,3성 , 저격,,,,,,,
07315,3,2,167,0.8,3.000,16,06002,1,0.05,6,0.000,0,1.5,TowerTypeText_SR,PieceName_SR,*,3성 , 저격,,,,,,,
07401,4,1,10,0.5,2.500,15,06003,1,0.05,0,0.000,2,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,1성 , 탱커,최대체력 퍼뎀,,,,,,
07402,4,1,11,0.5,2.500,15,06003,1,0.05,0,0.000,2,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,1성 , 탱커,,,,,,,
07403,4,1,12,0.5,2.500,15,06003,1,0.05,0,0.000,2,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,1성 , 탱커,,,,,,,
07404,4,1,13,0.5,2.500,15,06003,1,0.05,0,0.000,2,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,1성 , 탱커,,,,,,,
07405,4,1,14,0.5,2.500,15,06003,1,0.05,0,0.000,2,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,1성 , 탱커,,,,,,,
07406,4,1,22,0.4,2.500,15,06003,1,0.05,0,0.000,4,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,2성 , 탱커,,,,,,,
07407,4,1,24,0.4,2.500,15,06003,1,0.05,0,0.000,4,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,2성 , 탱커,,,,,,,
07408,4,1,26,0.4,2.500,15,06003,1,0.05,0,0.000,4,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,2성 , 탱커,,,,,,,
07409,4,1,28,0.4,2.500,15,06003,1,0.05,0,0.000,4,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,2성 , 탱커,,,,,,,
07410,4,1,30,0.4,2.500,15,06003,1,0.05,0,0.000,4,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,2성 , 탱커,,,,,,,
07411,4,1,50,0.3,2.500,15,06003,1,0.05,0,0.000,6,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,3성 , 탱커,,,,,,,
07412,4,1,55,0.3,2.500,15,06003,1,0.05,0,0.000,6,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,3성 , 탱커,,,,,,,
07413,4,1,60,0.3,2.500,15,06003,1,0.05,0,0.000,6,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,3성 , 탱커,,,,,,,
07414,4,1,65,0.3,2.500,15,06003,1,0.05,0,0.000,6,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,3성 , 탱커,,,,,,,
07415,4,1,70,0.3,2.500,15,06003,1,0.05,0,0.000,6,0.8,TowerTypeText_Mortar,PieceName_Mortar,*,3성 , 탱커,,,,,,,
07501,5,2,10,2.7,2.500,6,06004,1,0.75,0,0.400,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,1성 , 범위,폭발 범위 단위는 px,,,,,,
07502,5,2,15,2.7,2.500,6,06004,1,0.75,0,0.400,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,1성 , 범위,,,,,,,
07503,5,2,15,2.7,2.500,6,06004,1,0.75,0,0.400,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,1성 , 범위,,,,,,,
07504,5,2,20,2.7,2.500,6,06004,1,0.75,0,0.400,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,1성 , 범위,,,,,,,
07505,5,2,20,2.7,2.500,6,06004,1,0.75,0,0.400,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,1성 , 범위,,,,,,,
07506,5,2,40,2.3,2.500,7,06004,1,0.75,0,0.550,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,2성 , 범위,,,,,,,
07507,5,2,45,2.3,2.500,7,06004,1,0.75,0,0.550,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,2성 , 범위,,,,,,,
07508,5,2,50,2.3,2.500,7,06004,1,0.75,0,0.550,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,2성 , 범위,,,,,,,
07509,5,2,55,2.3,2.500,7,06004,1,0.75,0,0.550,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,2성 , 범위,,,,,,,
07510,5,2,60,2.3,2.500,7,06004,1,0.75,0,0.550,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,2성 , 범위,,,,,,,
07511,5,2,100,1.9,2.500,8,06004,1,0.75,0,0.650,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,3성 , 범위,,,,,,,
07512,5,2,110,1.9,2.500,8,06004,1,0.75,0,0.650,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,3성 , 범위,,,,,,,
07513,5,2,120,1.9,2.500,8,06004,1,0.75,0,0.650,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,3성 , 범위,,,,,,,
07514,5,2,130,1.9,2.500,8,06004,1,0.75,0,0.650,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,3성 , 범위,,,,,,,
07515,5,2,140,1.9,2.500,8,06004,1,0.75,0,0.650,0,0.5,TowerTypeText_Boomer,PieceName_Boomer,*,3성 , 범위,,,,,,,
07601,6,4,15,0.5,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,1성 , 버퍼,Skill: 적에게 피해를 입힐 때마다 피해량 만큼 (가장 체력이 낮은) 아군 슬롯을 회복합니다. ,,,,,,
07602,6,4,17,0.5,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,1성 , 버퍼,힐효과를 사격 방식에 줄지 투사체에 줄지 ,,,,,,
07603,6,4,19,0.5,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,1성 , 버퍼,,,,,,,
07604,6,4,21,0.5,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,1성 , 버퍼,,,,,,,
07605,6,4,23,0.5,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,1성 , 버퍼,,,,,,,
07606,6,4,27,0.4,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,2성 , 버퍼,,,,,,,
07607,6,4,30,0.4,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,2성 , 버퍼,,,,,,,
07608,6,4,33,0.4,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,2성 , 버퍼,,,,,,,
07609,6,4,36,0.4,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,2성 , 버퍼,,,,,,,
07610,6,4,39,0.4,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,2성 , 버퍼,,,,,,,
07611,6,4,60,0.3,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,3성 , 버퍼,,,,,,,
07612,6,4,66,0.3,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,3성 , 버퍼,,,,,,,
07613,6,4,72,0.3,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,3성 , 버퍼,,,,,,,
07614,6,4,78,0.3,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,3성 , 버퍼,,,,,,,
07615,6,4,84,0.3,2.500,15,06005,1,0.05,0,0.000,0,0.8,TowerTypeText_Buffer,PieceName_Buffer,*,3성 , 버퍼,,,,,,,
