int,string,int,int,int,int,float,float,float,string,*,string,,,,,,
04052,MonsterName_Normal_2_Stage5,1,00081,28,3,2.9,0.4,15,monster_01_09,*,노말,,1,Normal,,,
04053,MonsterName_Normal_3_Stage5,1,00081,28,3,2.9,0.4,15,monster_01_19,*,노말,,2,Speedy,,,
04061,MonsterName_Normal_1_Stage1,1,00081,50,4,2.8,0.4,15,monster_01_10,*,하드,,3,Tanker,,,
04062,MonsterName_Normal_2_Stage1,1,00081,50,4,2.8,0.4,15,monster_01_05,*,하드,,4,Boss,,,
04063,MonsterName_Normal_3_Stage1,1,00081,50,4,2.8,0.4,15,monster_01_15,*,하드,,,,,,
04071,MonsterName_Normal_1_Stage2,1,00081,60,4,2.8,0.4,15,monster_01_06,*,하드,,04XX0,X=스테이지,,,
04072,MonsterName_Normal_2_Stage2,1,00081,60,4,2.8,0.4,15,monster_01_11,*,하드,,0400X,X=몬스터 번호,,,
04073,MonsterName_Normal_3_Stage2,1,00081,60,4,2.8,0.4,15,monster_01_16,*,하드,,,,,,
04081,MonsterName_Normal_1_Stage3,1,00081,70,4,2.7,0.4,15,monster_01_12,*,하드,,,,,,
04082,MonsterName_Normal_2_Stage3,1,00081,70,4,2.7,0.4,15,monster_01_07,*,하드,,1스테이지 소팅 6초 기준으로 밸런스 시작,,,,
04083,MonsterName_Normal_3_Stage3,1,00081,70,4,2.7,0.4,15,monster_01_17,*,하드,,,,,,
04091,MonsterName_Normal_1_Stage4,1,00081,80,4,2.7,0.4,15,monster_01_18,*,하드,,,,,,
04092,MonsterName_Normal_2_Stage4,1,00081,80,4,2.7,0.4,15,monster_01_08,*,하드,,,,,,
04093,MonsterName_Normal_3_Stage4,1,00081,80,4,2.7,0.4,15,monster_01_13,*,하드,,,,,,
04101,MonsterName_Normal_1_Stage5,1,00081,90,4,2.6,0.4,15,monster_01_14,*,하드,,숙련자: 평균 3.69초 간격으로 소팅 수행,,,,
04102,MonsterName_Normal_2_Stage5,1,00081,90,4,2.6,0.4,15,monster_01_09,*,하드,,중급자: 평균 5.56초 간격으로 소팅 수행,,,,
04103,MonsterName_Normal_3_Stage5,1,00081,90,4,2.6,0.4,15,monster_01_19,*,하드,,초보자: 평균 6.59초 간격으로 소팅 수행,,,,
04111,MonsterName_Normal_1_Stage1,1,00081,170,5,2.6,0.4,15,monster_01_10,*,헬,,,,,,
04112,MonsterName_Normal_2_Stage1,1,00081,170,5,2.6,0.4,15,monster_01_05,*,헬,,,,,,
04113,MonsterName_Normal_3_Stage1,1,00081,170,5,2.6,0.4,15,monster_01_15,*,헬,,,,,,
04121,MonsterName_Normal_1_Stage2,1,00081,190,5,2.5,0.4,15,monster_01_06,*,헬,,,,,,
04122,MonsterName_Normal_2_Stage2,1,00081,190,5,2.5,0.4,15,monster_01_11,*,헬,,3.5.8.10.13,,,,
04123,MonsterName_Normal_3_Stage2,1,00081,190,5,2.5,0.4,15,monster_01_16,*,헬,,,,,,
04131,MonsterName_Normal_1_Stage3,1,00081,210,5,2.5,0.4,15,monster_01_12,*,헬,,,,,,
04132,MonsterName_Normal_2_Stage3,1,00081,210,5,2.5,0.4,15,monster_01_07,*,헬,,,,,,
04133,MonsterName_Normal_3_Stage3,1,00081,210,5,2.5,0.4,15,monster_01_17,*,헬,,,,,,
04141,MonsterName_Normal_1_Stage4,1,00081,230,5,2.4,0.4,15,monster_01_18,*,헬,,,,,,
04142,MonsterName_Normal_2_Stage4,1,00081,230,5,2.4,0.4,15,monster_01_08,*,헬,,,,,,
04143,MonsterName_Normal_3_Stage4,1,00081,230,5,2.4,0.4,15,monster_01_13,*,헬,,,,,,
04151,MonsterName_Normal_1_Stage5,1,00081,250,5,2.3,0.4,15,monster_01_14,*,헬,,,,,,
04152,MonsterName_Normal_2_Stage5,1,00081,250,5,2.3,0.4,15,monster_01_09,*,헬,,,,,,
04153,MonsterName_Normal_3_Stage5,1,00081,250,5,2.3,0.4,15,monster_01_19,*,헬,,,,,,
04014,MonsterName_Speedy_Stage1,2,00082,10,3,2.9,0.4,35,monster_01_00,*,스피디,,,,,,
04024,MonsterName_Speedy_Stage2,2,00082,13,3,2.8,0.4,35,monster_01_01,*,스피디,,,,,,
04034,MonsterName_Speedy_Stage3,2,00082,16,3,2.7,0.4,35,monster_01_02,*,스피디,,,,,,
04044,MonsterName_Speedy_Stage4,2,00082,19,3,2.65,0.4,35,monster_01_03,*,스피디,,,,,,
04054,MonsterName_Speedy_Stage5,2,00082,22,3,2.6,0.4,35,monster_01_04,*,스피디,,,,,,
04064,MonsterName_Speedy_Stage1,2,00082,50,3,2.55,0.4,35,monster_01_00,*,스피디,,,,,,
04074,MonsterName_Speedy_Stage2,2,00082,60,4,2.5,0.4,35,monster_01_01,*,스피디,,,,,,
04084,MonsterName_Speedy_Stage3,2,00082,70,4,2.45,0.4,35,monster_01_02,*,스피디,,,,,,
04094,MonsterName_Speedy_Stage4,2,00082,80,4,2.4,0.4,35,monster_01_03,*,스피디,,,,,,
04104,MonsterName_Speedy_Stage5,2,00082,90,4,2.35,0.4,35,monster_01_04,*,스피디,,,,,,
04114,MonsterName_Speedy_Stage1,2,00082,170,5,2.3,0.4,35,monster_01_00,*,스피디,,,,,,
04124,MonsterName_Speedy_Stage2,2,00082,190,5,2.25,0.4,35,monster_01_01,*,스피디,,,,,,
04134,MonsterName_Speedy_Stage3,2,00082,210,5,2.2,0.4,35,monster_01_02,*,스피디,,,,,,
04144,MonsterName_Speedy_Stage4,2,00082,230,5,2.15,0.4,35,monster_01_03,*,스피디,,,,,,
04154,MonsterName_Speedy_Stage5,2,00082,250,5,2.1,0.4,35,monster_01_04,*,스피디,,,,,,
04015,MonsterName_Tanker_Stage1,3,00082,30,5,4.5,0.4,8,monster_02_0,*,탱커,,,,,,
04025,MonsterName_Tanker_Stage2,3,00082,37,5,4.3,0.4,8,monster_02_1,*,탱커,,,,,,
04035,MonsterName_Tanker_Stage3,3,00082,44,5,4.1,0.4,8,monster_02_2,*,탱커,,,,,,
04045,MonsterName_Tanker_Stage4,3,00082,51,5,4,0.4,8,monster_02_3,*,탱커,,,,,,
04055,MonsterName_Tanker_Stage5,3,00082,58,5,3.9,0.4,8,monster_02_4,*,탱커,,,,,,
04065,MonsterName_Tanker_Stage1,3,00082,150,6,3.8,0.4,8,monster_02_0,*,탱커,,,,,,
04075,MonsterName_Tanker_Stage2,3,00082,170,6,3.75,0.4,8,monster_02_1,*,탱커,,,,,,
04085,MonsterName_Tanker_Stage3,3,00082,190,6,3.7,0.4,8,monster_02_2,*,탱커,,,,,,
04095,MonsterName_Tanker_Stage4,3,00082,210,6,3.65,0.4,8,monster_02_3,*,탱커,,,,,,
04105,MonsterName_Tanker_Stage5,3,00082,230,6,3.6,0.4,8,monster_02_4,*,탱커,,,,,,
04115,MonsterName_Tanker_Stage1,3,00082,600,8,3.55,0.4,8,monster_02_0,*,탱커,,,,,,
04125,MonsterName_Tanker_Stage2,3,00082,640,8,3.5,0.4,8,monster_02_1,*,탱커,,,,,,
04135,MonsterName_Tanker_Stage3,3,00082,680,8,3.45,0.4,8,monster_02_2,*,탱커,,,,,,
04145,MonsterName_Tanker_Stage4,3,00082,720,8,3.4,0.4,8,monster_02_3,*,탱커,,,,,,
04155,MonsterName_Tanker_Stage5,3,00082,760,8,3.35,0.4,8,monster_02_4,*,탱커,,,,,,
04901,MonsterName_Boss_Stage1,4,0,2000,40,0.6,0.4,0,monster_03_0,*,보스,,,,,,
04902,MonsterName_Boss_Stage2,4,0,2200,40,0.6,0.4,0,monster_03_1,*,보스,,,,,,
04903,MonsterName_Boss_Stage3,4,0,2400,40,0.6,0.4,0,monster_03_2,*,보스,,,,,,
04904,MonsterName_Boss_Stage4,4,0,2600,40,0.6,0.4,0,monster_03_3,*,보스,,,,,,
04905,MonsterName_Boss_Stage5,4,0,2800,40,0.6,0.4,0,monster_03_4,*,보스,,,,,,
04906,MonsterName_Boss_Stage1,4,0,3000,40,0.6,0.4,0,monster_03_0,*,보스,,,,,,
04907,MonsterName_Boss_Stage2,4,0,3200,40,0.6,0.4,0,monster_03_1,*,보스,,,,,,
04908,MonsterName_Boss_Stage3,4,0,3400,40,0.6,0.4,0,monster_03_2,*,보스,,,,,,
04909,MonsterName_Boss_Stage4,4,0,3600,40,0.6,0.4,0,monster_03_3,*,보스,,,,,,
04910,MonsterName_Boss_Stage5,4,0,3800,40,0.6,0.4,0,monster_03_4,*,보스,,,,,,
04911,MonsterName_Boss_Stage1,4,0,4000,40,0.6,0.4,0,monster_03_0,*,보스,,,,,,
04912,MonsterName_Boss_Stage2,4,0,4200,40,0.6,0.4,0,monster_03_1,*,보스,,,,,,
04913,MonsterName_Boss_Stage3,4,0,4400,40,0.6,0.4,0,monster_03_2,*,보스,,,,,,
04914,MonsterName_Boss_Stage4,4,0,4600,40,0.6,0.4,0,monster_03_3,*,보스,,,,,,
04915,MonsterName_Boss_Stage5,4,0,4800,40,0.6,0.4,0,monster_03_4,*,보스,,,,,,
