int,int,string,string,int,int,int,string,bool,string,string,*,string,,,,,,,
10011,09011,PerkName_MaxProj_Shotgun,PerkDesc_MaxProj_Shotgun,3,00091,2,TowerTypeText_Shotgun,1,Image_iconSkill_Icon_8,Image_Icon_Type_1,*,샷건형 포탑 탄창 증가,,,,,,,
10012,09012,PerkName_BoomArea_Shotgun,PerkDesc_BoomArea_Shotgun,3,00091,2,TowerTypeText_Shotgun,0,0,Image_Icon_Type_1,*,샷건형 투사체 폭발 범위 증가(%),,,"세션내 영구적인 값을 변환하는 경우 PerkData는 EffectData를 참조하고, 만일 조건 정보가 있다면 TriggerData를 통해 EffectData에 접근한다.",,,,
10013,09017,PerkName_ATKUP_SR,PerkDesc_ATKUP_SR,3,00091,3,TowerTypeText_SR,1,Image_iconSkill_Icon_5,Image_Icon_Type_2,*,원거리형 공격력 강화,,,,,,,
10014,09018,PerkName_ATKSpeedUP_SR,PerkDesc_ATKSpeedUP_SR,3,00091,3,TowerTypeText_SR,1,Image_iconSkill_Icon_1,Image_Icon_Type_2,*,원거리형 공격 주기 강화 (%),,,PerkTaget,적용대상,,,
10015,09019,PerkName_MaxProj_SR,PerkDesc_MaxProj_SR,3,00091,3,TowerTypeText_SR,1,Image_iconSkill_Icon_8,Image_Icon_Type_2,*,원거리형 포탑 탄창 증가,,,1,AR,가장 가까운 적 타게팅 + 기본형 공격,,공통 종류 특전 등장
10016,09020,PerkName_ProjPiercing_SR,PerkDesc_ProjPiercing_SR,3,00093,3,TowerTypeText_SR,1,Image_iconSkill_Icon_0,Image_Icon_Type_2,*,원거리형 관통력 증가,,,2,Shotgun,가장 가까운 적 타겟팅 + 여러 탄환,,"발사체 크기 증가 x, 관통 x"
10017,09021,PerkName_BoomArea_SR,PerkDesc_BoomArea_SR,3,00091,3,TowerTypeText_SR,0,0,Image_Icon_Type_2,*,원거리형 투사체 폭발 범위 증가(%),,,3,SR,가장 먼 적 타겟팅 + 높은 관통력,,"크기x, 발사체 수 x"
10018,09013,PerkName_ATKUP_Mortar,PerkDesc_ATKUP_Mortar,3,00093,4,TowerTypeText_Mortar,1,Image_iconSkill_Icon_5,Image_Icon_Type_3,*,탱커형 공격력 강화(%) (고유),,,4,Mortar,가장 가까운 적 타게팅 + 체력 비례 데미지 + 느린 발사 주기,,"발사체수 증가 x, 관통x, 폭발x"
10019,09014,PerkName_ATKSpeedUP_Mortar,PerkDesc_ATKSpeedUP_Mortar,3,00091,4,TowerTypeText_Mortar,1,Image_iconSkill_Icon_1,Image_Icon_Type_3,*,탱커형 공격 주기 강화 (%),,,5,Boomer,가장 가까운 적 타겟팅 + 목표 지점 범위 공격 + 관통력x 느린 발사 주기,,"관통력x, 발사체 크기 증가x, 폭발 x"
10020,09015,PerkName_MaxProj_Mortar,PerkDesc_MaxProj_Mortar,3,00091,4,TowerTypeText_Mortar,1,Image_iconSkill_Icon_8,Image_Icon_Type_3,*,탱커형 포탑 탄창 증가,,,6,Buffer,가장 가까운 적 타게팅 + 기본형에 많이 약한 데미지 + 랜덤한 아군 정해진 숫자만큼 버프 적용,,"관통력x, 폭발x, 빌사체 크기/수 증가x"
10021,09016,PerkName_ProjSize_Mortar,PerkDesc_ProjSize_Mortar,3,00091,4,TowerTypeText_Mortar,0,0,Image_Icon_Type_3,*,탱커형 발사체 크기 증가 (%),,,7,Slot,,,
10022,09026,PerkName_ATKUP_Boomer,PerkDesc_ATKUP_Boomer,3,00091,5,TowerTypeText_Boomer,1,Image_iconSkill_Icon_5,Image_Icon_Type_4,*,범위형 공격력 강화,,,8,Combo,,,
10023,09027,PerkName_ATKSpeedUP_Boomer,PerkDesc_ATKSpeedUP_Boomer,3,00091,5,TowerTypeText_Boomer,1,Image_iconSkill_Icon_1,Image_Icon_Type_4,*,범위형 공격 주기 강화 (%),,,,,,,
10024,09028,PerkName_ShotProjCountUP_Boomer,PerkDesc_ShotProjCountUP_Boomer,3,00091,5,TowerTypeText_Boomer,0,0,Image_Icon_Type_4,*,범위형 발사체 수 증가,,,,,,,
10025,09029,PerkName_MaxProj_Boomer,PerkDesc_MaxProj_Boomer,3,00091,5,TowerTypeText_Boomer,1,Image_iconSkill_Icon_8,Image_Icon_Type_4,*,범위형 포탑 탄창 증가,,,,,,,
10026,09030,PerkName_BoomArea_Boomer,PerkDesc_BoomArea_Boomer,3,00093,5,TowerTypeText_Boomer,1,Image_iconSkill_Icon_6,Image_Icon_Type_4,*,범위형 투사체 폭발 범위 증가(%),,,활성화 특전 수:,25,,,
10027,09022,PerkName_ATKUP_Buffer,PerkDesc_ATKUP_Buffer,3,00091,6,TowerTypeText_Buffer,0,0,Image_Icon_Type_5,*,보조형 공격력 강화,,,주석에 빨간색으로 표시된 특전은 해당 포탑 유형 전용 특전.,,,,
10028,09023,PerkName_ATKSpeedUP_Buffer,PerkDesc_ATKSpeedUP_Buffer,3,00091,6,TowerTypeText_Buffer,1,Image_iconSkill_Icon_1,Image_Icon_Type_5,*,보조형 공격 주기 강화 (%),,,,,,,
10029,09024,PerkName_MaxProj_Buffer,PerkDesc_MaxProj_Buffer,3,00091,6,TowerTypeText_Buffer,1,Image_iconSkill_Icon_8,Image_Icon_Type_5,*,보조형 포탑 탄창 증가,,,,,,,
10030,09025,PerkName_Heal_Buffer,PerkDesc_Heal_Buffer,2,00093,6,TowerTypeText_Buffer,1,Image_iconSkill_Icon_10,Image_Icon_Type_5,*,보조형 힐량 증가,,,,,,,
10031,09101,PerkName_Heal_Slot,PerkDesc_Heal_Slot,1,00092,7,0,1,Image_iconSkill_Icon_3,0,*,즉시 전체 슬롯 % 회복,,,,,,,
10032,09102,PerkName_MaxHPUP_Slot,PerkDesc_MaxHPUP_Slot,3,00092,7,0,1,Image_iconSkill_Icon_2,0,*,슬롯 최대 체력 증가,,,,,,,
10033,09103,PerkName_ATKSpeedUp_Slot,PerkDesc_ATKSpeedUp_Slot,1,00092,7,0,1,Image_iconSkill_Icon_4,0,*,일정 시간동안 공격 주기 가속(%),,,,,,,
10034,09105,PerkName_ComboDamage,PerkDesc_ComboDamage,3,00092,8,0,1,Image_iconSkill_Icon_9,0,*,콤보수 10단위 달성할 때마다 발동하는 콤보 스킬 추가 데미지,,,,,,,
